# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 24 09:41:31 2022
#
# User preference: *
#
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
k2_name,pl_name
K2-339 b,K2-339 b
K2-34 b,K2-34 b
K2-340 b,K2-340 b
K2-341 b,K2-341 b
K2-342 b,K2-342 b
K2-343 b,K2-343 b
K2-343 c,K2-343 c
K2-344 b,K2-344 b
K2-345 b,K2-345 b
K2-346 b,K2-346 b
K2-347 b,K2-347 b
K2-348 b,K2-348 b
K2-348 c,K2-348 c
K2-349 b,K2-349 b
K2-35 b,K2-35 b
K2-35 c,K2-35 c
K2-350 b,K2-350 b
K2-350 c,K2-350 c
K2-351 b,K2-351 b
K2-352 b,K2-352 b
K2-352 c,K2-352 c
K2-352 d,K2-352 d
K2-353 b,K2-353 b
K2-354 b,K2-354 b
K2-355 b,K2-355 b
K2-356 b,K2-356 b
K2-357 b,K2-357 b
K2-358 b,K2-358 b
K2-359 b,EPIC 201427007 b
K2-36 b,K2-36 b
K2-36 c,K2-36 c
K2-360 b,EPIC 201595106 b
K2-361 b,EPIC 212624936 b
K2-361 c,EPIC 212624936 c
K2-362 b,EPIC 220492298 b
K2-363 b,EPIC 228836835 b
K2-364 b,HD 137496 b
K2-364 c,HD 137496 c
K2-365 b,K2-365 b
K2-366 b,K2-366 b
K2-367 b,K2-367 b
K2-368 b,K2-368 b
K2-368 c,K2-368 c
K2-368 d,K2-368 d
K2-369 b,K2-369 b
K2-37 b,K2-37 b
K2-37 c,K2-37 c
K2-37 d,K2-37 d
K2-370 b,K2-370 b
K2-371 b,K2-371 b
K2-372 b,K2-372 b
K2-373 b,K2-373 b
K2-374 b,K2-374 b
K2-374 c,K2-374 c
K2-375 b,K2-375 b
K2-376 b,K2-376 b
K2-377 b,K2-377 b
K2-378 b,K2-378 b
K2-379 b,K2-379 b
K2-38 b,K2-38 b
K2-38 c,K2-38 c
K2-380 b,K2-380 b
K2-381 b,K2-381 b
K2-381 c,K2-381 c
K2-381 d,K2-381 d
K2-382 b,K2-382 b
K2-383 b,K2-383 b
K2-384 b,K2-384 b
K2-384 c,K2-384 c
K2-384 d,K2-384 d
K2-384 e,K2-384 e
K2-384 f,K2-384 f
K2-385 b,K2-385 b
K2-386 b,K2-386 b
K2-387 b,K2-387 b
K2-388 b,K2-388 b
K2-389 b,K2-389 b
K2-389 c,K2-389 c
K2-39 b,K2-39 b
K2-390 b,K2-390 b
K2-391 b,K2-391 b
K2-392 b,K2-392 b
K2-393 b,K2-393 b
K2-394 b,K2-394 b
K2-395 b,K2-395 b
K2-395 c,K2-395 c
K2-396 b,K2-396 b
K2-396 c,K2-396 c
K2-397 b,K2-397 b
K2-398 b,K2-398 b
K2-398 c,K2-398 c
K2-399 b,K2-399 b
K2-4 b,K2-4 b
K2-40 b,WASP-75 b
K2-400 b,K2-400 b
K2-401 b,K2-401 b
K2-402 b,K2-402 b
K2-403 b,K2-403 b
K2-404 b,K2-404 b
K2-405 b,K2-405 b
K2-406 b,K2-406 b
K2-407 b,K2-407 b
K2-407 c,K2-407 c
K2-408 b,K2-408 b
K2-409 b,K2-409 b
K2-41 b,WASP-157 b
K2-42 b,K2-42 b
K2-43 b,K2-43 b
K2-43 c,K2-43 c
K2-44 b,K2-44 b
K2-45 b,K2-45 b
K2-46 b,K2-46 b
K2-47 b,K2-47 b
K2-48 b,K2-48 b
K2-49 b,K2-49 b
K2-5 b,K2-5 b
K2-5 c,K2-5 c
K2-50 b,K2-50 b
K2-50 c,EPIC 201833600 c
K2-52 b,K2-52 b
K2-53 b,K2-53 b
K2-54 b,K2-54 b
K2-55 b,K2-55 b
K2-56 b,BD+20 594 b
K2-57 b,K2-57 b
K2-58 b,K2-58 b
K2-58 c,K2-58 c
K2-58 d,K2-58 d
K2-59 b,K2-59 b
K2-59 c,K2-59 c
K2-6 b,K2-6 b
K2-60 b,K2-60 b
K2-61 b,K2-61 b
K2-62 b,K2-62 b
K2-62 c,K2-62 c
K2-63 b,K2-63 b
K2-63 c,K2-63 c
K2-64 b,K2-64 b
K2-65 b,K2-65 b
K2-66 b,K2-66 b
K2-68 b,K2-68 b
